brand,vip_discount,market_price,category,price,name
玛丽黛佳Marie Dalgar特卖旗舰店,4.6折,149,唇彩/唇蜜,69,玛丽黛佳贪心唇釉装 0.8ml*8 8支彩妆套装 液体口红 多色一盒装小样
玛丽黛佳Marie Dalgar特卖旗舰店,9.9折,199,面部精华,198,玛丽黛佳肌底亮颜精华露 30ml  补水保湿 滋润 提亮肤色 面部妆前 乳霜
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,50,眼唇卸妆,42,玛丽黛佳双效速净眼唇卸妆液 80ml 温和 速净 保湿
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,50,眼唇卸妆,42,玛丽黛佳双效速净眼唇卸妆液 80ml 温和 速净 保湿
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,50,眼唇卸妆,42,玛丽黛佳双效速净眼唇卸妆液 80ml 温和 速净 保湿
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,99,睫毛膏,82,玛丽黛佳黑流苏密语睫毛膏 11ml+1g 防水纤长卷翘不易晕染
玛丽黛佳Marie Dalgar特卖旗舰店,8.9折,99,睫毛膏,88,玛丽黛佳元气放大镜睫毛膏 3.5ml*2 纤长浓密 一支搞定
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,99,睫毛膏,82,玛丽黛佳白流苏悠长睫毛膏 11ml+1g 纤长 自然卷翘 好上妆 易卸妆
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,58,眉粉,48,玛丽黛佳印象女主角三色眉粉 深棕色 防水不脱 渐变色 超柔和 护眉
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,58,眉粉,48,玛丽黛佳印象女主角三色眉粉 奶奶灰 防水不脱 渐变色 超柔和 护眉
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,58,眉粉,48,玛丽黛佳印象女主角三色眉粉 浅棕色 防水不脱 渐变色 超柔和 护眉
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,58,眉粉,48,玛丽黛佳印象女主角三色眉粉 亚麻金 防水不脱 渐变色 超柔和 护眉
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,128,修颜/阴影/高光,108,玛丽黛佳光影戏法立体粉（NEW）7g  高光两用 V脸 鼻影 发际线粉 初学者
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,128,修颜/阴影/高光,108,玛丽黛佳光影戏法立体粉（NEW）7g  高光两用 V脸 鼻影 发际线粉 初学者
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,108,修颜/阴影/高光,90,玛丽黛佳光影戏法高光粉 柔光晨曦 定妆粉 裸妆 保湿 自然 遮瑕 干粉散粉
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,128,修颜/阴影/高光,108,玛丽黛佳光影戏法立体粉 柔光金／夹竹桃荫 修颜 阴影 高光 立体 修容 一盒解决
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,108,修颜/阴影/高光,90,玛丽黛佳光影戏法高光粉 一米阳光 定妆粉 裸妆 保湿 自然 遮瑕 干粉散粉
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,128,修颜/阴影/高光,108,玛丽黛佳光影戏法立体粉 阳光金／沙丘之影 修颜 阴影 高光 立体 修容 一盒解决
玛丽黛佳Marie Dalgar特卖旗舰店,8.2折,109,BB霜,89,玛丽黛佳元气悸动粉润新颜乳 35g  BB霜 轻薄 持久 保湿水亮 裸妆 少女 滋润 遮瑕
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,128,BB霜,106,玛丽黛佳焕颜新肤乳液 50ml BB霜  遮瑕 亮肤 控油
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,BB霜,145,玛丽黛佳水域亮肤气垫霜 贝壳倾（自然色）
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,168,BB霜,139,玛丽黛佳黄金亮肤新颜乳液 40ml  BB霜 自然服帖 遮瑕 裸妆 轻薄保湿 补水
玛丽黛佳Marie Dalgar特卖旗舰店,9.9折,199,BB霜,198,玛丽黛佳红参弹润精华美颜霜 （徐海乔定制版）亮肤色 20g 保湿 遮瑕 持久 裸妆 提亮学生 BB霜
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,118,遮瑕/妆前/打底,99,玛丽黛佳水亮光采妆前乳 (NEW) 35ml  持久 保湿补水 遮瑕 隐形毛孔 裸妆
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,118,遮瑕/妆前/打底,99,玛丽黛佳柔焦隐形妆前乳 35ml 妆前乳 控油 润泽 修饰 隐形毛孔
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,128,遮瑕/妆前/打底,108,玛丽黛佳光影戏法立体粉（NEW）7g  高光两用 V脸 鼻影 发际线粉 初学者
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,108,遮瑕/妆前/打底,90,玛丽黛佳光影戏法高光粉 柔光晨曦 定妆粉 裸妆 保湿 自然 遮瑕 干粉散粉
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,128,遮瑕/妆前/打底,108,玛丽黛佳光影戏法立体粉（NEW）7g  高光两用 V脸 鼻影 发际线粉 初学者
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,128,遮瑕/妆前/打底,108,玛丽黛佳光影戏法立体粉 柔光金／夹竹桃荫 修颜 阴影 高光 立体 修容 一盒解决
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,118,遮瑕/妆前/打底,99,玛丽黛佳水亮光采妆前乳 35ml 妆前乳 水亮 焕颜 持久
玛丽黛佳Marie Dalgar特卖旗舰店,8.3折,108,遮瑕/妆前/打底,90,玛丽黛佳光影戏法高光粉 一米阳光 定妆粉 裸妆 保湿 自然 遮瑕 干粉散粉
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,118,遮瑕/妆前/打底,99,玛丽黛佳慕颜保湿妆前乳35ml 妆前乳 补水 保湿 亮泽
玛丽黛佳Marie Dalgar特卖旗舰店,8.2折,218,遮瑕/妆前/打底,178,玛丽黛佳元气悸动粉润新颜乳双支装  轻薄 持久 保湿 水亮 裸妆 少女 滋润 遮瑕
玛丽黛佳Marie Dalgar特卖旗舰店,8.4折,128,遮瑕/妆前/打底,108,玛丽黛佳光影戏法立体粉 阳光金／沙丘之影 修颜 阴影 高光 立体 修容 一盒解决
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,79,粉饼,68,玛丽黛佳元气青柠蜜粉饼 雪花青柠  持久 遮瑕 控油 保湿 修容 定妆 干粉散粉 彩妆
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,79,粉饼,68,元气青柠蜜粉饼 6g  持久 遮瑕 控油 保湿 修容 定妆 干粉散粉 彩妆
玛丽黛佳Marie Dalgar特卖旗舰店,一口价,239,粉饼,238,玛丽黛佳红参润养保湿精华粉饼 柔粉色 定妆粉 裸妆 保湿 自然 遮瑕 干粉 散粉
玛丽黛佳Marie Dalgar特卖旗舰店,9.9折,129,粉饼,128,玛丽黛佳元气糖霜粉饼 (NEW)  8g 定妆粉 裸妆 保湿 自然 干粉 遮瑕 控油持久
玛丽黛佳Marie Dalgar特卖旗舰店,一口价,239,粉饼,238,玛丽黛佳红参润养保湿精华粉饼 亮肤色
玛丽黛佳Marie Dalgar特卖旗舰店,9.9折,129,粉饼,128,玛丽黛佳元气糖霜粉饼 (NEW)  8g 定妆粉 裸妆 保湿 自然 干粉 遮瑕 控油持久
玛丽黛佳Marie Dalgar特卖旗舰店,9.9折,129,粉饼,128,玛丽黛佳元气糖霜粉饼 (NEW)  8g 定妆粉 裸妆 保湿 自然 干粉 遮瑕 控油持久
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,79,粉饼,68,玛丽黛佳元气青柠蜜粉饼 蜜桃青柠 持久 遮瑕 控油 保湿 修容 定妆 干粉散粉 彩妆
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉饼,145,玛丽黛佳无感大师亲肤透亮粉饼 贝壳倾(自然色) 细腻柔滑 薄透亮肤 贴肤持久
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉饼,145,玛丽黛佳无感大师亲肤透亮粉饼 麦栗纱(小麦色) 细腻柔滑 薄透亮肤 贴肤持久
玛丽黛佳Marie Dalgar特卖旗舰店,8.6折,169,粉饼,145,玛丽黛佳无感大师亲肤透亮粉饼 木兰迟(亮肤色) 细腻柔滑 薄透亮肤 贴肤持久
