brand,sell_type,price,name,discount_price
御泥坊男士,一口价,99,御泥坊男士黑茶控油护肤套装三件套,129
一叶子,一口价,99,新品 一叶子蜂王浆紧致塑颜挂耳面膜 10片每盒 20片装,109
美宝莲,一口价,89,新品 美宝莲净澈多效卸妆水 400ml+赠3瓶95ml,128
水密码,一口价,109,新品 水密码人鱼公主补水细肤黑白面膜套装30片,168
舒客,一口价,89,舒客宝贝声波电动牙刷牙膏套装   细软毛防水 儿童牙刷,101
狮王,一口价,79,狮王酵素洁净立式牙膏 蓝色款  黄色款 可选 130g,490
圣罗兰/YSL,一口价,219,YSL 圣罗兰迷魅纯漾方管唇膏口红  多色可选,278
三生花,一口价,69,新品  百雀羚三生花舒缓细肤倍护防晒乳SPF35PA++ 50g,119
番茄派,一口价,40,新品 番茄派我嘞个去足膜   去老茧柔嫩 玫瑰滋润 组合5片装,99.5
金稻,一口价,128,金稻升级版手提式负离子纳米喷雾蒸脸器美容仪,158
欧莱雅,一口价,69,欧莱雅男士洁面100mlX2+50mlX2,158
RE:CIPE,一口价,45,RE:CIPE 水晶防晒喷雾50ml+50ml,110
丽丽贝尔/Lily Bell,一口价,55,丽丽贝尔化妆棉 4包装 每包222枚  天然呵护 温和柔软,76
JM Solution/肌司研,一口价,79,JM Solution 蚕丝氨基酸水肌面膜  蜜莹潤蜂胶面膜 10片每盒,99
欧芭,一口价,175,新品 欧芭高营养洗护套装 740g 两瓶装,209
素野,一口价,369,素野多肽赋活修护套装  水+乳+眼霜+面霜,699
魔力鲜颜,一口价,89,魔力鲜颜黄金备长炭SPA净透水润面膜 5片每盒,128
素士,一口价,59,品制500认证 素士声波电动牙刷X1青春版组合套装,79
科颜氏/Kiehls,一口价,259,科颜氏牛油果保湿眼霜 补水淡化眼周细纹黑眼圈 14g 28g,300
兰芝,一口价,178,兰芝经典小白光气垫BB霜 带替换装,189
妮维雅,一口价,22.9,新品 妮维雅男士净油精华抗痘洁面炭泥150g,49
滋源,一口价,89,新品 滋源无患子控油清爽洗发水护发素 265ml 洗发水替换装235ml　油性,174
科颜氏/Kiehls,一口价,159,科颜氏高保湿水乳系列,179
Somang/所望,一口价,69,韩国所望牛奶沐浴露 750ml 绵密泡沫 清爽滋润,299
韩束,一口价,109,韩束山茶花水嫩保湿面膜22片,139
SOS,一口价,79,德国SOS海盐鼻腔喷雾,159
倍瑞傲,一口价,68,LG生活健康 倍瑞傲派缤牙膏  萌绿清新  冰蓝薄荷  任选 2支装,159
优资莱,一口价,109,优资莱去角质凝露250g,179
舒客,一口价,39.9,舒客宝贝液体牙膏兔子款 鳄鱼款 4支装,116
娜丽丝,一口价,69,Naris 娜丽丝保湿美容液UV防晒喷雾,99
熊野油脂/Kumano,一口价,59,熊野油脂马油沐浴露 600ml,73
番茄派,一口价,69,番茄派懒人大肚贴  两盒装,120
SPA TREATMENT,一口价,419,新品 日本进口 spa treatment 蛇毒纤瘦暗黑水精油 100ml,459
化妆品2,一口价,69,芬芳花香 美皙丝滑 蔻斯汀樱花花瓣沐浴露 720ml,99
兰芝,一口价,159,新品 LANEIGE 兰芝雪纱丝柔防晒隔离霜新款 SPF25 PA++ 两款可选,299
艾馨尚,一口价,298,艾馨尚艾灸美容推拿仪   艾灸推拿按摩三合一,576
妮维雅,一口价,37.5,新品 妮维雅凝水活采泡沫洁面乳 100g三支装,87
雅漾/Avene,一口价,79,雅漾喷雾法国活泉水  多规格可选,148
贝德玛/Bioderma,一口价,99,贝德玛舒妍净妍洁肤液  卸妆水500ml 粉水 蓝水可选,129
御泥坊,一口价,99,御泥坊美白透润面膜套装 21片,199
安耐晒,一口价,189,2018新版 ANESSA安耐晒  防晒60ml SPF50+PA++++ 三款可选,299
高姿,一口价,59,高姿一片霸瓶面膜 5片装 买一盒赠一盒,99
FREEZEFRAME,一口价,289,新品 澳洲Freezeframe紧致塑形丰胸霜 100ml,339
爱茉莉,一口价,75,爱茉莉 紫红棕黑绿吕 洗发 洗护 套装 可选 400ml 2瓶,198
珀莱雅,一口价,129,新品 珀莱雅黑珍珠净亮采泡泡SPA面膜 5片每盒规格见选项,129
韩后,一口价,75,韩后太阳蛋清透倍护防晒乳液（红没药醇系列）,198
娇韵诗/Clarins,一口价,139,娇韵诗白吸盘均衡清洁乳 绿吸盘温和清洁乳,169
施华蔻 /Schwarzkopf,一口价,99,施华蔻怡然染发霜两盒装  多色可选 着色自然,138
原生黄,一口价,16.8,原生黄悬浮芯系列 日用  安心裤,20
优资莱,一口价,69,优资莱净白隔离防晒乳50ML,198
相宜本草,一口价,39,相宜本草去死皮膏 68g每支 规格见选项,49
素野,一口价,328,素野水光玻尿酸高保湿安瓶原液,378
倩碧/Clinique,一口价,209,倩碧升级版卓越润肤乳 天才黄油  有油 无油125mL,295
一叶子,一口价,119,一叶子补水亮采面膜组合20片（玫瑰+山茶花）,198
Thegoatskincare,一口价,98,Aussie袋鼠洗发水护发素发膜套装 可选,138
兰蔻/Lancome,一口价,199,兰蔻清滢柔肤水 嫩肤水 粉水蓝水 200ml 400ml  可选,299
芭妮兰,一口价,99,芭妮兰致柔水润卸妆膏 一瓶装,218
薇新,一口价,259,薇新多功能洁面美容仪,399
素野,一口价,168,素野深层肌底滋养蚕丝面膜 2盒,556
EltaMD,一口价,128,新品 eltaMD 氨基酸深层泡沫洗面奶卸妆洁面乳,189
VT,一口价,109,VT CICA 老虎补水控油抗痘面膜 10片装,210
美迪惠尔(Mediheal),一口价,69,升级版带钢印 美迪惠尔水库面膜,130
爱茉莉,一口价,79,爱茉莉美仙玫瑰橄榄蜂蜜护发油精油70ml 两瓶装,178
AHC,一口价,149,AHC玻尿酸保湿水乳礼盒套装 神仙水乳套装,199
薇新,一口价,298,wellskins薇新微电流智能提拉刮痧按摩仪,398
珀莱雅,一口价,79,新品 珀莱雅水漾芯肌透润水（清润型） 90ml,194
femfresh,一口价,45,femfresh女性护理清洗液250ml 洋甘菊  单瓶装 温和护理,64.5
+的意义,一口价,89,+的意义樱花SPA柔顺洗护套装 洗发水+护发素,120
SNP,一口价,89,SNP 自然水营养面膜春季套盒 12片装（绿茶 樱花 玫瑰各4片）,199
Aquafresh,一口价,75,意大利Aquafresh立式按压式三色牙膏100ml  4支装,396
兰蔻,一口价,379,兰蔻肌底赋活 小黑瓶 眼霜,499
御泥坊,一口价,109,御泥坊美肌酵素黑膜礼盒 21片,159
兰芝,一口价,159,兰芝雪纱防晒气垫隔离霜SPF22 PA++30ml 绿隔离 有替换装 提亮肤色,199
DAISO/大创,一口价,39,DAISO大创 两用粉扑 五角形化妆海绵  10枚,39
DAISO/大创,一口价,39,DAISO大创 化妆刷专用清洁剂,39
兰芝,一口价,109,新品 兰芝滋润保湿洁面180ml 红花洗面奶,139
兰芝,一口价,109,LANEIGE兰芝洁面膏洗面奶 多效净肤 毛孔细致 保湿泡沫三款可选,139
欧莱雅/Loreal,一口价,239,欧莱雅葡萄籽限量版套盒,398
Hopkins lab,一口价,99,hopkins lab 提拉紧致1号眼霜,198
SHANGPREE,一口价,169,SHANGPREE香蒲丽眼膜贴60片 海洋水光人参果修复 两款可选,298
膜法世家,一口价,109,新品 膜法世家吸黑焕采三合一面膜套盒 每盒21片,249.9
素野,一口价,139,素野多肽紧致眼霜   15g,199
雪花秀/SULWHASOO,一口价,659,雪花秀滋盈肌本润颜水乳套装,799
美迪惠尔(Mediheal),一口价,79,美迪惠尔升级版面膜 维生素面膜 毛孔紧致黑面膜 胶原蛋白面膜 三款可选,129
资生堂/Shiseido,一口价,89,资生堂豪华级嘉美艳容露 神仙水 爽肤化妆水150ml  2瓶装,258
ANJERI,一口价,118,泰国ANJERI 蚕丝面膜 金色 银色两款可选 一盒10片,159
Mistine,一口价,69,Mistine24小时不易脱妆粉底液 自然色  象牙白 两款可选,79
AHC,一口价,89,AHC B5玻尿酸洗面奶 180ml,159
DAISO/大创,一口价,39,新品  DAISO 大创5件套便捷化妆刷,39
